establishment,  Security Audit,Year undertaken,Actual,absconds_rate_actual,absconds_rate_target,assults_staff_change,assaults_staff_p1,assaults_staff_p2,assaults_staff_YTD rate,assaults_prisoner_change,assaults_prisoner_p1,assaults_prisoner_p2,assaults_prisoner_ytdrate,mpql_safety,Year undertaken,barricade_change,barricade_p1,barricade_p2,barricade_ytd rate,indiscipline_change,indiscipline_p1,indiscipline_p2,indiscipline_ytd rate,hostage_change,hostage_p1,hostage_p2,hostage_ytd rate,height_change,height_p1,height_p2,height_ytd rate,selfharm_change,selfharm_p1,selfharm_p2,selfharm_ytd rate,  Incident Reporting System Data Quality Audit,reportingassaultscheck_actual,reportingassaultscheck_target,drugtesting_actual,drugtesting_target,Months not met,hoursworked_actual,hoursworked_target,accrprogrammes_actual,accrpgrogrammes_target,Offender Behaviour Programme Completions (OBP) (r ),Sex Offender Treatment Programme Completions (SOTP) (r )
Altcourse,4,2017,0,-,-,-26.8,97.3,70.5,70.5,-69.2,359.9,290.7,290.7,3,2016,0,0,0,0,-1.7,1.7,0,0.9,-1.7,1.7,0,0.9,37.6,73.4,111,92.3,-151.1,752.9,601.9,677.1,-,-,0.85,0.161,0.0983,0,-,0.8,56,54,56,0
Ashfield,3,2017,0,-,-,-7.5,7.5,0,0,-5.5,55.1,49.6,49.6,4,2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,5,4.9,5,-16.9,90.5,73.6,81.9,-,-,0.85,0.004,0.05,0,-,0.8,69,67,10,59
Askham Grange,4,2016,-,5.2,10,0,0,0,0,-8.7,18.2,9.6,9.6,3,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2,39.9,36.7,38.2,3,-,0.85,0.008,0.04,0,0.984,0.8,-,0,0,0
Aylesbury,4,2016,0,-,-,-2,203.3,201.3,201.3,100.4,889.6,990,990,3,2016,14.4,0,14.4,7.1,-18.7,18.7,0,9.5,0,0,0,0,5.2,18.7,23.9,21.3,-56.9,693.7,636.8,665.5,2,1,0.85,0.14,0.0425,0,0.785,0.8,78,94,78,0
Bedford,3,2016,0,-,-,161,191.6,352.6,352.6,225.8,341.1,567,567,3,2018,-62.9,95,32.2,56.4,13.8,0,13.8,8.5,0,0,0,0,106.7,146.2,252.9,211.6,153.8,775,928.7,868.8,-,-,0.85,0.182,0.098,0,1.336,0.8,-,0,0,0
Belmarsh,4,2017,0,-,-,17.4,80.4,97.8,97.8,-14.9,241.1,226.3,226.3,3,2016,-2.3,2.3,0,1.2,-2.3,4.7,2.4,3.5,0,0,0,0,-4.5,11.7,7.1,9.4,-13.3,156.2,143,149.7,-,-,0.85,0.081,0.08,1,0.703,0.8,47,45,47,0
Birmingham,3,2017,0,-,-,139.5,251.7,391.2,391.2,148.9,475,623.9,623.9,2,2016,6.9,45.3,52.2,48.8,5.9,6,11.9,9,-1.5,3,1.5,2.3,20.5,139.1,159.6,149.4,-43.5,467.1,423.7,445.2,3,1,0.85,0.205,0.1127,1,-,0.8,73,72,73,0
Brinsford,3,2017,0,-,-,-13,238.8,225.8,225.8,291.5,735.4,1026.9,1026.9,2,2015,-9.3,13.5,4.2,8.7,-4.5,4.5,0,2.2,-4.5,4.5,0,2.2,-73,85.6,12.6,47.8,-207.3,2332.9,2125.7,2225.4,3,0.9,0.85,0.079,0.07,0,0.985,0.8,49,48,49,0
Bristol,3,2018,0,-,-,125.1,136,261.1,261.1,158.6,420.9,579.5,579.5,1,2017,-7,23.2,16.2,19.8,4.1,0,4.1,2,0.2,3.9,4.1,4,20.6,7.7,28.4,17.8,221,714.9,935.9,822.8,2,0.75,0.85,0.255,0.2,1,0.461,0.8,-,0,0,0
Brixton,3,2017,0,-,-,-13.3,60.1,46.8,46.8,41,121.5,162.5,162.5,2,2015,5.4,7.7,13.1,10.4,-5.1,7.7,2.6,5.2,0,0,0,0,21.3,15.5,36.7,26,58.5,188.1,246.6,217.1,3,0.938,0.85,0.126,0.18,0,0.825,0.8,16,18,16,0
