establishment,Location,County,Ownership,Operator,Capacity
Altcourse,Liverpool,Merseyside,Private,G4S,1324
Ashfield,Pucklechurch,Gloucestershire,Private,Serco,400
Askham Grange,Askham Richard,North Yorkshire,Public,,128
Aylesbury,Aylesbury,Buckinghamshire,Public,,443
Bedford,Bedford,Bedfordshire,Public,,506
Belmarsh,Thamesmead,London,Public,,910
Berwyn,Wrexham,Wrexham County Borough,Public,,2106
Birmingham,Birmingham,West Midlands,Private,G4S,1450
Blantyre House,Goudhurst,Kent,Public,,122
Brinsford,Featherstone,Staffordshire,Public,,569
Bristol,Horfield,Bristol,Public,,614
Brixton,Brixton,London,Public,,798
Bronzefield,Ashford,Surrey,Private,Sodexo Justice Services,569
Buckley Hall,Rochdale,Greater Manchester,Public,,381
Bullingdon,Arncott,Oxfordshire,Public,,1114
Bure,Coltishall,Norfolk,Public,,523
Cardiff,Adamsdown,Cardiff,Public,,784
Channings Wood,Denbury,Devon,Public,,731
Chelmsford,Chelmsford,Essex,Public,,695
Coldingley,Bisley,Surrey,Public,,513
Cookham Wood,Borstal,Kent,Public,,157
Dartmoor,Princetown,Devon,Public,,646
Deerbolt,Startforth,County Durham,Public,,453
Doncaster,Doncaster,South Yorkshire,Private,Serco,1145
Dovegate,Uttoxeter,Staffordshire,Private,Serco,860
Downview,Banstead,Surrey,Public,,358
Drake Hall,Yarnfield,Staffordshire,Public,,315
Durham,Durham,County Durham,Public,,981
East Sutton Park,Sutton Valence,Kent,Public,,100
Eastwood Park,Falfield,Gloucestershire,Public,,362
Erlestoke,Erlestoke,Wiltshire,Public,,470
Exeter,Exeter,Devon,Public,,533
Featherstone,Featherstone,Staffordshire,Public,,702
Feltham,Feltham,London,Public,,762
Ford,Arundel,West Sussex,Public,,557
Forest Bank,Pendlebury,Greater Manchester,Private,Sodexo Justice Services,1424
Foston Hall,"Foston, Derbyshire",Derbyshire,Public,,290
Frankland,Brasside,County Durham,Public,,750
Full Sutton,Full Sutton,East Riding of Yorkshire,Public,,608
Garth,Ulnes Walton,Lancashire,Public,,847
Gartree,Market Harborough,Leicestershire,Public,,869
Grendon,Grendon Underwood,Buckinghamshire,Public,,235
Guys Marsh,Shaftesbury,Dorset,Public,,578
Hatfield,Hatfield Woodhouse,South Yorkshire,Public,,260
Haverigg,Haverigg,Cumbria,Public,,644
Hewell,Tardebigge,Worcestershire,Public,,1431
High Down,Banstead,Surrey,Public,,1208
Highpoint North,Stradishall,Suffolk,Public,,379
Highpoint South,Stradishall,Suffolk,Public,,944
Hindley,Bickershaw,Greater Manchester,Public,,440
Hollesley Bay,Woodbridge,Suffolk,Public,,330
Holme House,Stockton-on-Tees,County Durham,Public,,1211
Hull,Kingston upon Hull,East Riding of Yorkshire,Public,,1044
Humber,Brough,East Riding of Yorkshire,Public,,1064
Huntercombe,Nuffield,Oxfordshire,Public,,365
Isis,Thamesmead,London,Public,,622
Isle of Wight (Albany),Newport,Isle of Wight,Public,,567
Isle of Wight (Parkhurst),Newport,Isle of Wight,Public,,536
Kennet,Maghull,Merseyside,Public,,342
Kirkham,Kirkham,Lancashire,Public,,590
Kirklevington Grange,Kirklevington,North Yorkshire,Public,,283
Lancaster Farms,Lancaster,Lancashire,Public,,549
Leeds,Leeds,West Yorkshire,Public,,1004
Leicester,Leicester,Leicestershire,Public,,392
Lewes,Lewes,East Sussex,Public,,723
Leyhill,Tortworth,Gloucestershire,Public,,532
Lincoln,Lincoln,Lincolnshire,Public,,738
Lindholme,Hatfield Woodhouse,South Yorkshire,Public,,990
Littlehey,Perry,Cambridgeshire,Public,,726
Liverpool,Liverpool,Merseyside,Public,,1184
Long Lartin,South Littleton,Worcestershire,Public,,622
Low Newton,Brasside,County Durham,Public,,336
Lowdham Grange,Lowdham,Nottinghamshire,Private,Serco,690
Maidstone,Maidstone,Kent,Public,,600
Manchester,Manchester,Greater Manchester,Public,,1269
Moorland,Hatfield Woodhouse,South Yorkshire,Public,,1006
New Hall,Flockton,West Yorkshire,Public,,446
Northumberland,Acklington,Northumberland,Private,Sodexo Justice Services,1348
